弗沙,Puṣya
復生,renewed appearance
福田,field of merit
覆頭,with the face covered
父王,oneʼs father who is a king
復有,there is also
甘露,nectar
乾闥,(Skt. gandharva)
高心,conceit
高足,superior disciples
更互,one another
更生,rebirth
歌舞,song and dance
功德,merit(s)
恭敬,to respect
供養,to make offerings
廣大,extensive
光明,radiance
廣行,to practice widely
觀身,contemplate oneʼs physical body
觀他,to observe others
鬼神,spirit
過去,past
國土,land
國王,king
故作,therefore [one] makes [does]...
好惡,good things and bad things
號叫,raurava
好樂,delights in
河邊,riverside
何等,what is
黑白,evil karma and good karma
何況,how much more..
訶羅,(Skt. hara)
何如,like what?
何耶,Haya
何以,for what reason. . .?
何因,how
厚薄,thick and thin
後生,later birth
後世,subsequent age
後有,that which is later existent
華光,Padmaprabha
還復,to return
黃衣,yellow robes
歡喜,happiness
化作,to create with supernormal power
護持,to maintain
護法,Dharmapāla
悔過,repentance of transgressions
慧利,intelligent
慧命,life power as a metaphor for wisdom
慧人,wise person
惑亂,confused
或時,sometimes
或有,sometimes there are [there is]
或云,some say . . .
家常,ordinary
加害,to harm
見道,path of seeing
見得,attained through insight
見佛,to see the buddha
將死,will die
堅固,solid
建立,to establish
見網,net of views
薦席,seat
憍慢,pride
袈裟,kāṣāya
迦葉,Kāśyapa
疾病,sickness
集成,collected
嫉妬,jealousy
笈多,Gupta
結病,entangled sickness
劫盜,robber
皆得,all attain
結盡,to bring to an end
潔淨,pure
戒律,moral restraints and rules of discipline
接取,to receive
結使,affliction
解脫,liberation
集會,assembly
伎樂,music
驚怖,terror
敬奉,to honor
淨華,pure flowers
經律,scriptures and rules collections
精勤,to endeavor
精舍,temple
淨勝,superior purity
淨物,pure thing
淨心,pure mind
淨者,something pure
金器,golden vessel
金錢,coin
今身,present body
今生,this life
積善,to accumulate virtue
究暢,to state fully
久後,in the future
救濟,to rescue
積習,(long) ingrained habits
及與,and
眷屬,followers
具戒,full set of precepts
聚落,a village
開導,to guide
開發,to enlighten others
開示,to elucidate
開張,to open up
可悲,lamentable
可稱,measurable
可得,obtainable
可惡,disgusting
可觀,to be observed
可取,to be grasped
可言,can be called
可以,can
可治,treatable
空界,space
孔雀,the peacock
空中,the sky; space
快樂,joy
誑惑,deceit
曠野,wasteland
庫藏,treasure house
枯燥,dried up
癩病,scabies
來世,the future
來現,comes to appear
來至,drawing near
蘭若,araṇya
樂觀,to observe joyfully
兩肩,both shoulders
良善,good
離塵,to free [oneself] from pollution
臨欲,to approach
臨終,to come to the end of oneʼs life
流傳,to transmit
留難,the difficulty of good behavior being hindered by evil
流入,flow into
流通,to flow; to circulate
利行,altruistic acts
離言,inexpressible
利益,efficacy
龍神,dragon-spirit
龍王,dragon-king
漏失,loss
羅漢,luohan
羅睺,Rāhu
羅門,Brahman
羅閱,Rājagṛha
夢想,that which is seen in a dream
門戶,door
門中,in [this or that] aspect
妙法,wonderful dharma
蜜多,pāramitā
滅度,extinction [of mental activity]
滅法,extinction of phenomena
滅盡,cessation
彌勒,Maitreya
名聞,fame
明悟,to illuminate and understand
名曰,called
彌尼,(Skt. maineya)
彌沙,(Skt. *mahī-śāsaka)
摩訶,mahā
摩尼,maṇi
末田,Madhyântika
魔邪,evil tempter māra
魔行,Māra activities
目連,Maudgalyāyana
目前,before the eyes
木人,wooden figure
乃至,up to
那律,Aniruddha
那羅,naṭa
男女,man and woman
南山,Nanshan
難提,Nandi
難陀,Nanda
難修,difficult to practice
那婆,nava
能得,is able to
能感,able to respond
能取,knowing
能捨,indifference
能問,able to ask
能至,can reach
能治,an antidote
年中,within the year
鳥獸,the birds and the beasts
泥洹,(Skt. nirvāṇa)
女人,woman
偏袒,bare on one side
毘尼,(Skt. vinaya)
頻婆,(Skt. vimba)
貧窮,poor
婆達,the act of speaking
婆訶,vāha
破壞,break down
破戒,transgression
婆利,water
婆羅,(Skt. pāla)
破器,broken vessel
婆私,Vasiṣṭha
婆娑,(Skt. bhāṣa)
婆提,Bhadrika
婆耶,payas
普光,universal illumination
菩薩,bodhisattva
菩提,enlightenment
前生,previous lifetime
前世,previous life
千萬,myriad[s]
伽藍,*saṃghârāma
欺誑,deception
擎鉢,to raise oneʼs bowl
請食,to receive and invitation and eat
勤學,to apply oneself to study
勤勇,application of effort
七日,seven days
乞食,begging for food
求出,trying to escape
求佛,to seek Buddhahood
求人,to ask someone
求生,seeking [re-]birth
求索,to seek out
求學,pursue learning; to seek instruction
其一,one and only
其餘,the remaining...
其中,in this
驅逼,to attack
怯弱,to be intimidated
群臣,vassals
取能,subjective grasping
去世,to depart from this world
染色,dyed colors
饒益,to confer benefit
人見,view of existence of a person
人間,human being(s)
人民,common people
人名,personal name
人身,person
人說,someone says
人物,human possessions
人中,among human beings
人作,created (by a person)
熱鐵,hot iron
日夜,daily
如寶,like a jewel
如此,like this
汝等,you (plural) : you guys (Skt. mārsa)
入法,to enter into the Dharma
如佛,buddha-like
如見,having seen
如淨,Rujing
如來,thus-come
入滅,to enter into nirvana
若不,if not
若是,supposing; if
若無,if there is no...
如是,like this
汝說,you say...
如我,like myself
三百,three hundred
三寶,three treasures
三惡,three evil destinies
三昧,(Skt. samādhi)
三千,three thousand
掃地,sweep the ground
薩婆,sarva
僧家,saṃgha
僧祇,incalculable
僧伽,(Skt. saṃgha)
僧中,within the saṃgha
色味,to taste of sex
沙門,śramaṇa
沙彌,śrāmaṇera
善惡,good and evil
上道,the supreme path
善根,wholesome roots
上人,excellent personage
傷損,to harm
上天,to ascend to heaven
善果,good effects
上下,above and below
上座,head seat
善見,excellent vision
山林,mountains and forests
善友,reliable friend
山谷,mountain valley
善哉,excellent!
少時,oneʼs youth
攝護,protect
捨家,to abandon home
舍利,(Skt. śarīra)
舍那,śāna
生慚,ashamed
生得,innately endowed
生惡,to give rise to evil
勝負,winning and losing
勝進,advancing onto the next level
生滅,arising and ceasing
生起,coming into existence
生人,to give birth to a human
生善,produce goodness
生死,birth and death
聲聞,śrāvaka
生育,give birth to and to raise
生欲,desire for life
生長,emergent
攝念,gathering mindfulness
神力,supernormal powers
身命,body and life
身入,tactile field
神通,supernormal cognition
深樂,deeply aspire
舍衛,Śrāvastī
舍宅,a house
式叉,study
世道,worldly ways
是法,this teaching
十方,ten directions
是非,yes and no
時分,time division
是故,therefore
是何,what is it?
施護,Dānapāla
師利,Shili
是名,it is called...
十年,ten years
使人,a messenger
師僧,revered monk
世善,worldly goodness
時食,seasonable herbs
是所,these
事相,phenomenon
失心,scattered mind
始學,beginning student
師學,master and disciple
事業,action
是以,therefore
食者,someone who is eating
世執,attachments to worldly matters
是之,of this
室中,inside the abbotʼs room
世中,dwelling or situated between the worlds
施主,almsgiver
釋子,child of the Buddha
師子,lion
世尊,world-honored one
受得,admission
受法,receive the Dharma
受戒,to receive the precepts
受具,to receive the complete precepts
受取,to receive
受食,to receive (donations of) food
受時,when sensation is experienced
受施,accept an offering
授與,to offer
說法,exposition of the teachings (dharma)
說戒,explaining the precepts
數數,often
殊勝,extraordinary
樹下,under a tree
四百,four hundred
四兵,four kinds of troops
四大,four great elements
似法,apparent dharmas
死人,corpse
寺塔,temple
四天,heavens of the four directions
死亡,dead and gone
死者,the dead
誦經,to chant a sutra (together)
俗服,secular clothes
隨其,in which manner or way
隨時,at the appropriate time
隨事,according to circumstances
隨宜,to teach in direct response to the needs and abilities of the audience
隨有,any one of many
隨逐,to chase after
損害,to harm
所持,held
所得,acquisition
所動,moved (by)
所斷,that which is cut
所會,is combined
所結,to be bound
所可,what
娑羅,śāla
所棄,rejected
所生,that which is produced
所說,that which is explained
所許,approval
所須,necessity
所應,to act accordingly
所欲,desirable
所長,strong points
所知,the known
所作,that which is (to be) done
宿習,conditioning from a prior lifetime
宿有,heaped up
臺館,towers and mansions
曇摩,(Skt. dharma)
曇無,dharma
檀越,chief donor
闥婆,(Skt. gandharva)
田地,fields
天帝,Indra
天人,celestials and humans
天上,heavenly realm
天神,celestials
天王,king of heaven
鐵丸,iron ball
提婆,(Skt. deva)
提舍,deśanā
通達,to penetrate
通力,supernormal powers
通敏,penetrating intelligence
童子,a youth
頭首,the chief monks in a monastery
土木,earth and wood
陀羅,tārā
外道,non-Buddhist
王家,the kingʼs household
王位,kingship
往昔,antiquity
往至,to arrive
萬歲,ten thousand years
微薄,subtle and light
唯除,only except for...
威德,authoritative power
未來,future
微妙,subtle
威神,[authoritative] power
未通,has not perceived
威儀,deportment
唯有,there is only...
聞法,To hear the teachings
聞佛,To hear the Buddha
文殊,Mañjuśrī
聞說,as I have heard
問訊,to inquire
問言,to question : saying...
聞已,having heard
聞者,listener
我法,self and phenomena
我名,oneʼs own name
我受,attachment to self
我所,mine
我聞,I have heard...
我相,concept of self
我行,I
我言,I say...
我語,advocating a self
五百,five hundred
五部,five groups
無常,impermanent; impermanence
無法,non existent
無福,no luck
無復,never again
無垢,undefiled
物故,death
無淨,impure
無量,uncountable
無容,no room
無上,most
無傷,unimpaired; unvitiated
五升,five sheng
五十,fifty
無畏,fearlessness
無問,unasked
無厭,unwearying
無有,does not exist
無者,nihilist
無諍,without strife
無知,not knowing
五種,five kinds
下賤,humble
像教,teaching using images
相似,resemblance
庠序,deportment
現身,avatar
現世,this life
先亡,ancestors
先修,first cultivates
哮吼,roar
小心,shallow mind
下生,birth in this world (from a higher world)
邪見,mistaken view
血流,blood flow
邪師,false teacher
邪行,mistaken behavior
邪業,mistaken activity
繫縛,to bind up
行步,to walk
行道,to follow the path
性多,many kinds of temperaments
信根,faculty of faith
行法,methods of practice
形服,appearance and dress
行人,practitioner
行食,to serve meals to the monks
行樹,rows of trees
行檀,the act of giving
心懷,to harbor in oneʼs mind
信士,male devotee
信心,faith
新學,someone newly learning
信用,to respect
心願,mental resolve
胸臆,oneʼs inner mind
修羅,(Skt. asura)
休息,respite
息心,stopping thought
喜心,joy
宣令,to declare
虛空,space
巡行,to tour
牙齒,front teeth and back teeth
言說,verbal expression
要義,purpose
樂欲,to pursue oneʼs desires
夜叉,(Skt. yakṣa)
衣裳,clothing
依地,basis
亦復,also
依附,to attach to as a basis
以何,how? whence?
一卷,one scroll
依空,based on emptiness
異論,disputing position
已滅,ceased
應行,to be practiced or performed
應須,should be
應用,omnipresent response
一念,thought-moment
音樂,music
慇懃,zealous
飲食,drink and food
因緣,cause(s) and condition(s)
一千,a thousand
一切,all
一人,a person
以時,timely
一時,one time; at the same time
一團,one mass
依行,to practice relying on…
異學,non-Buddhist teachings
一以,by means of one
依正,circumstantial and direct [rewards]
依止,basis
蟻子,an ant
勇猛,vigor
優波,upa-
有常,eternal
有蟲,having worms
有慈,compassionate
有多,having many
有害,harmful
右肩,right shoulder
有利,profit
優劣,superior and inferior
有漏,contaminated
優婆,(Skt. upa)
有求,seeking existence
猶如,well. . . just like
有善,possessing goodness
有上,excelled
又生,again produced
有勝,special
有時,at one time
由依,resting upon
有一,single
有終,has an ending
願樂,to expect
緣生,produced by causal conditions
願聞,to wish to hear
願作,resolve to be or become
餘部,another group
愚癡,foolish
於此,in that place
云何,why is it
欲求,desire
與取,take that which is offered
魚肉,fish and meats
於少,bare necessity
欲捨,to want to get rid of
雨水,rain water
與藥,to apply medicine
與者,giving
在此,resides here
在家,layman
在世,in the world
澡浴,to bathe
增廣,growth
丈夫,a man
長老,venerable
長者,householder
著樂,attachment to bliss
朝食,breakfast
遮道,to obstruct the Way
正法,true dharma
正見,right view
諍論,debate
正念,accurate attention
證信,to actualize faith
正直,correct and straight
質多,citta
知法,to know the Dharma
智慧,wisdom
知見,informed view
置立,to establish
知人,know people as individuals
知識,consciousness
至心,to pay close attention
中智,middling wisdom
種種,to proliferate
轉生,transmigration
諸佛,the buddhas
諸國,many worlds
囑累,transmission
諸寺,various temples
諸天,all the heavens
諸物,all beings
諸行,conditioned phenomena
諸有,all existent things
竹園,bamboo forest
自害,self-harm
自活,self-sufficient
資給,to provide a loan
自見,self-view
諮受,to listen
子孫,descendants
總持,to hold to the good
縱橫,vertically and horizontally
宗親,clan relatives
走使,service
罪滅,sins are extinguished
尊教,humility toward the teachings
坐禪,sitting meditation
作法,rules of behavior
作福,good or meritorious action
作淨,to purify
作禮,to make obeisance
作如,an image
作事,deed
足下,beneath oneʼs feet
傳聞,it is reported that
飽食,gluttony
言者,those who speak
先王,dead king
傾國,overthrower of states
不朽,(to) Imperishable
以及,(to) involve somebody in
以成,in order to make
成名,(to) make a name
兵將,generals and soldiers
好不,very
少長,child and adult
獲免,(to) receive a pardon
與之,(to) offer it
用以,in order to
於斯,we have something here
互言,(to) complement each other
判決,(to) determine the quality of
只有,there is only
若非,if not
失本,(to) lose the roots
純正,upright
大寒,greater Cold
與其,rather than…
木葉,leaf
木皮,tree bark
體中,throughout the body
有故,turn of events
人食,eating people
不以,not using
以手,(to) use oneʼs hands
經年,one year
危篤,deathly ill
臘月,last month
自盡,(to) do oneʼs utmost
拯救,(to) rescue
不亦,is it not indeed
自負,conceit
多能,skilled in many things
信服,(to) trust
求我,(to) seek me
氣盡,exhausted
殺身,(to) sacrifice oneself
失據,(to) lose one's base of support
訓戒,(to) warn
肌肉,skin and flesh
以便,so that
文相,minister of Education
以善,by means of goodness
之人,this man
慳儉,close-fisted
急性,acute (illness)
好大,very large
淨福,pure happiness
悅之,pleased with it
大觀,broad overview
河海,yellow River 黃河 and the sea
呵叱,(to) scold with loud voice
嗜酒,fond of the bottle
純白,pure white
語云,as the saying goes
無諸,Wuzhu
有似,likeness
猶有,there is still
宗室,ancestral shrine
二子,two persons
川水,river water
海中,in the sea
不謂,never thought that
生故,livelihood
在於,(to) remain in
膝下,by the knees
大也,great
莫大,there is nothing greater than
舊德,good deeds previously done
附,to append
錄,record
與,to take part in
一,one
聞,To hear
前,front
佛,buddha
是,yes
隨,in accord with
散,to scatter
說,to explain
令,cause
諸,many
或,somebody
者,the one [who, which]
法,dharma
汝,you
能,able to
生,arising
問,a question
吾,I, myself
夫,man
有,there is
而,and
持,to verify
皆,all
僧,community of monks and nuns
如,thus
觀,to observe
斷,to eliminate (permanently)
其,therein
傳,to transmit
酒,alcohol
開,to disclose
門,door
于,at
於,at
於,at
行,to practice
作,to create
大,great
入,to enter
得,to obtain
集,gather
不,not
人,human being
非,no
閉,to close
忽,instantly
起,to arise
設,to set up
供,offer
社,gods of the land
請,to ask
復,again
覆,to veil
聽,To listen very well
食,to eat
飯,food
米,(Skt. śāli)
又,but
頻,urgent
富,rich
村,village
但,only
薄,light
粥,congee
多,many
家,house
飽,to be satisfied
語,to speak
在,to be
中,middling
此,this
彼,that
以,by means of
故,reason
應,should
我,self
尋,to investigate
等,and so forth
當,should be
付,to attach
捨,to abandon
捨,to abandon
舍,a shelter
私,myself
後,after
輸,to pay oneʼs dues
柯,axe handle
王,king
世,world
弘,broad
孫,grandchild
羅,a net
嗣,to connect
正,correct
顧,in reference to
事,affair, event
時,time
臣,minister
言,words
二,two
造,make
塔,stūpa
物,matter
也,and
若,if
便,directly
毀,to defame
四,four
名,names
雖,even if
曰,to say
建,establish
次,next
業,activity
御,to steer
攻,attack
鷄,rooster
雀,a sparrow
寺,Buddhist temple
石,stone
動,movement
地,earth
退,to retrogress
走,to run
城,a (walled) city
看,to look at
嗟,to polish
泣,to weep
盈,filled
路,road
益,increase
自,self
乍,quickly
死,to die
害,to harm
勤,to strive
呼,to call
攝,to contain
七,seven
尼,nun
壞,to deteriorate
房,monkʼs quarters
僉,all
願,to desire
勿,no
已,already
可,may
耳,ear
忿,anger
因,a cause
遂,to achieve
之,of
成,to accomplish
川,rivers
餘,leftover
所,an indicator of the object or the passive
聲,voice
悲,pity
哭,to weep
取,to obtain
囚,to catch
繫,to be tied
加,to add
鞭,a whip
罰,punishment
登,to climb
隱,hidden
險,misfortune
軍,an army
甲,armor
至,to reach to
恐,fearful
洗,to wash
賞,to reward, award
慕,to yearn for
首,head
償,to repay
君,noble
徒,a follower
鉢,alms bowl
歎,admiration
及,to reach
捉,to grasp
頭,head
受,sensation
金,gold
竭,to exhaust
定,to establish
燒,burn
經,scripture
臺,tower
火,fire
始,beginning
就,then, thereupon
然,in this way
炎,blazing
接,to join
上,above
神,psychic power
先,front
索,rope
女,woman
今,now
誓,an oath
使,affliction, proclivities
伏,to subdue
蟲,bugs
喜,delight
手,hand
捧,offer
壓,to press
性,nature
甚,extreme
下,lesser
求,to seek
從,to follow
共,in common with
丘,mound
滋,more and more
繁,many
還,to return
總,overall
諮,to consult
分,branch
立,to establish
來,to come
難,difficult
好,good
亟,to be in a hurry; urgently
抄,to extract and annotate from a text
治,to govern
律,rule
外,outside
採,to select
綜,to arrange
遺,to leave behind
誑,to deceive
別,to distinguish
群,a group
黨,friends
籌,small stake or stick
樂,(1) music (2) comfort (3) to be indulged in
舊,old
黑,black
新,new
白,white
乃,then
萬,ten thousand
數,to count
百,hundred
處,locus
學,study
少,few
座,seat
他,other
俾,to cause
部,a part
三,three
諍,quarrel
迦,ka
目,eye
揵,to lift up
屈,to bend
蘇,to be reborn
修,repeated practice
蘭,epidendrum
那,transliteration of Indic na sound
提,carry in the hand
盧,a rice-vessel
蠟,wax
帝,ruler
唯,only
各,each
服,to wear
色,form
宣,tell
講,to lecture
義,object
著,attachment / making known
理,principle
味,flavor
表,face
發,arise
博,encyclopedic
達,to penetrate
導,to guide
衣,clothes
木,wood
微,subtle
幽,obscure
密,secret
旬,ten day period
執,to grasp
慳,stinginess
見,to see
急,haste
戶,door
云,to say
雲,cloud
窮,the limit
弊,inferior
純,pure
帛,white silk
踰,to pass over
既,already
被,to incur
添,to attach
棄,to throw away
水,water
去,to leave
露,dew
進,to progress
消,to extinguish
疾,sickness / quickness
寒,cold
身,body
值,to meet
天,heaven
盡,to exhaust
俗,secular
置,to place
